time,t_in,theta_1,theta_6
85,218.0932534,125.4298261,1.286031411
86,216.6501455,126.1964445,1.342581582
87,209.5199627,126.9069274,1.400617888
88,184.6275722,127.4319201,1.460146032
89,211.867935,127.3677468,1.521171097
90,208.3650361,127.9511799,1.583697559
91,226.3297761,128.4386837,1.647729303
92,205.6339859,129.3328198,1.713269636
93,198.0831147,129.717674,1.780321304
94,195.6168078,129.9217904,1.848886503
95,201.9609823,130.0713192,1.918966906
96,200.6215163,130.3730028,1.990563666
97,215.7772767,130.6413076,2.063677439
98,227.6282478,131.2604099,2.138308394
99,192.7368173,132.1373597,2.21445622
100,203.0992831,132.1756167,2.292120144
101,202.871106,132.4639977,2.371298946
102,187.1298659,132.7449696,2.451990968
103,206.7541686,132.6587208,2.534194131
104,199.9550306,133.0426689,2.617905946
105,198.8876591,133.261719,2.703123524
106,216.8185658,133.4563796,2.789843585
107,211.5946807,134.0685022,2.878062466
108,197.727806,134.5414319,2.967776132
109,213.6758207,134.6810397,3.058980184
110,201.3040949,135.194505,3.151669871
111,198.8079264,135.4072857,3.2458401
112,204.8431074,135.5623671,3.341485449
113,194.8483796,135.8602373,3.438600177
114,200.9484737,135.9221793,3.537178234
115,199.8323009,136.1324357,3.637213273
116,202.1706858,136.3165326,3.738698657
117,203.7914135,136.5557183,3.841627465
118,224.7370238,136.8306817,3.945992506
119,212.7157227,137.5881509,4.051786321
120,200.0901361,138.0408659,4.159001195
121,214.4105277,138.1889587,4.267629165
122,213.2352026,138.6717389,4.377662033
123,214.5370186,139.1141019,4.489091377
124,205.4956629,139.5754177,4.601908563
125,191.5690745,139.8147935,4.716104758
126,211.2056056,139.7290558,4.831670943
127,208.6449433,140.1119058,4.948597924
128,195.0284311,140.4264622,5.066876341
129,223.7224341,140.4192772,5.186496682
130,201.5351584,141.0869482,5.307449287
131,213.3477035,141.2175228,5.429724359
132,194.8385638,141.6248056,5.553311969
133,219.0722337,141.5922997,5.67820207
134,202.3023445,142.1321053,5.804384502
135,199.6913494,142.2661956,5.931848998
136,213.5077354,142.3418471,6.060585196
137,202.6578254,142.7428365,6.190582641
138,222.0288333,142.8816643,6.321830795
139,223.3529449,143.4717026,6.454319042
140,206.2132514,144.0733286,6.588036692
141,229.8016376,144.2576477,6.722972992
142,199.022896,144.9890842,6.859117129
143,196.628438,144.9807609,6.996458243
144,192.2381711,144.9255006,7.134985435
145,192.5903245,144.7789351,7.274687776
146,209.2165515,144.6550882,7.415554313
147,200.8771532,144.9303262,7.557574071
148,212.6076755,145.0067382,7.700736056
149,208.0572657,145.3591798,7.845029251
150,198.674308,145.5970405,7.990442624
