time,tau,omega_2
61.07958884,0,4.099013527
61.32958884,0,4.516316182
61.57958884,0,4.408951245
61.82958884,0,4.429263449
62.07958884,0,4.037175491
62.32958884,0,4.359499861
62.57958884,0,4.320581275
62.82958884,0,4.288427065
63.07958884,0,4.047900616
63.32958884,0,4.102836723
63.57958884,0,4.485453204
63.82958884,0,4.147368865
64.07958884,0,3.728295076
64.32958884,0,3.98561102
64.57958884,0,3.613919461
64.82958884,0,4.139878078
65.07958884,0,3.815956873
65.32958884,0,3.949450906
65.57958884,0,4.045322735
65.82958884,0,4.008700643
66.07958884,0,3.651645887
66.32958884,0,3.792087256
66.57958884,0,3.717382188
66.82958884,0,3.807510913
67.07958884,0,4.296167831
67.32958884,0,3.953496389
67.57958884,0,3.595807349
67.82958884,0,4.025191783
68.07958884,0,3.809557552
68.32958884,0,4.053289646
68.57958884,0,3.79593085
68.82958884,0,3.879686694
69.07958884,0,4.114468597
69.32958884,0,3.927268498
69.57958884,0,4.131547511
69.82958884,0,3.81935281
70.07958884,0,3.829663544
70.32958884,0,3.941778819
70.57958884,0,3.775407752
70.82958884,0,3.929620055
71.07958884,0,3.972560504
71.32958884,0,3.784871421
71.57958884,0,3.663859795
71.82958884,0,3.777215615
72.07958884,0,3.809122819
72.32958884,0,4.000678655
72.57958884,0,3.87994189
72.82958884,0,4.069871136
73.07958884,0,3.732984032
73.32958884,0,3.979026003
73.57958884,0,4.059461118
73.82958884,0,4.01319082
74.07958884,0,3.754420485
74.32958884,0,4.02001226
74.57958884,0,3.802874805
74.82958884,0,3.928615722
75.07958884,0,3.834961183
75.32958884,0,4.133647437
75.57958884,0,3.594058086
75.82958884,0,3.998308291
76.07958884,0,3.939395606
76.32958884,0,3.766973976
76.57958884,0,4.01279484
76.82958884,0,3.920253873
77.07958884,0,4.218200366
77.32958884,0,3.629369989
77.57958884,0,4.081573779
77.82958884,0,4.147065069
78.07958884,0,3.626576015
78.32958884,0,4.227589342
78.57958884,0,4.329289911
78.82958884,0,4.236744931
79.07958884,0,4.43302586
79.32958884,0,4.236569372
79.57958884,0,3.720772723
79.82958884,0,3.920849069
80.07958884,0,4.417343616
80.32958884,0,4.103583419
80.57958884,0,3.951995752
80.82958884,0,3.75946911
81.07958884,0,3.955059089
81.32958884,0,4.068527904
81.57958884,0,4.338763137
81.82958884,0,4.359230659
82.07958884,0,4.580384304
82.32958884,0,4.463946555
82.57958884,0,4.122361275
82.82958884,0,4.307504784
83.07958884,0,4.377988284
83.32958884,0,4.423411374
83.57958884,0,4.084587984
83.82958884,0,4.192552496
84.07958884,0,4.282446797
84.32958884,0,4.346238084
84.57958884,0,4.735426773
84.82958884,0,4.472456946
85.07958884,0,4.207523281
85.32958884,0,4.442527702
85.57958884,0,4.438134464
85.82958884,0,4.417900204
86.07958884,0,4.744661598
86.32958884,0,4.866935543
86.57958884,0,4.512771719
86.82958884,0,4.554960122
87.07958884,0,4.266320885
87.32958884,0,4.727801623
87.57958884,0,4.364675803
87.82958884,0,4.596525689
88.07958884,0,4.613822752
88.32958884,0,4.53966028
88.57958884,0,4.678809102
88.82958884,0,4.607219915
89.07958884,0,5.039255239
89.32958884,0,4.917825431
89.57958884,0,5.061999521
89.82958884,0,4.834303091
90.07958884,0,4.670793705
90.32958884,0,4.698022256
90.57958884,0,4.709488553
90.82958884,0,4.862760449
91.07958884,0,4.626833521
91.32958884,0,4.762788923
91.57958884,0,4.54792157
91.82958884,0,4.921437295
92.07958884,0,4.627629173
92.32958884,0,4.469457
92.57958884,0,4.68786959
92.82958884,0,4.646537189
93.07958884,0,4.587838965
93.32958884,0,4.651619381
93.57958884,0,4.90311757
93.82958884,0,4.768919289
94.07958884,0,4.475169978
94.32958884,0,5.087358796
94.57958884,0,4.848255967
94.82958884,0,4.963886504
95.07958884,0,4.590010214
95.32958884,0,4.791757422
95.57958884,0,5.059226488
95.82958884,0,4.609593485
96.07958884,0,4.925514721
96.32958884,0,5.17058158
96.57958884,0,4.707665167
96.82958884,0,4.440953173
97.07958884,0,4.454620313
97.32958884,0,4.845408676
97.57958884,0,5.146901321
97.82958884,0,4.803640383
98.07958884,0,4.830424098
98.32958884,0,4.535964354
98.57958884,0,4.946103465
98.82958884,0,4.910716521
99.07958884,0,5.021231028
99.32958884,0,4.745474756
99.57958884,0,5.183869883
99.82958884,0,4.860323882
100.0795888,0,4.556183268
100.3295888,0,4.851886984
100.5795888,0,5.173600279
100.8295888,0,4.992286079
101.0795888,0,4.531632088
101.3295888,0,5.251919295
101.5795888,0,5.01026845
101.8295888,0,4.913025282
102.0795888,0,4.890829389
102.3295888,0,4.855342892
102.5795888,0,4.845810235
102.8295888,0,4.691507828
103.0795888,0,5.125320216
103.3295888,0,4.872628144
103.5795888,0,5.090908151
103.8295888,0,5.013342918
104.0795888,0,4.910149417
104.3295888,0,4.972514838
104.5795888,0,4.702694449
104.8295888,0,4.984889832
105.0795888,0,5.210301313
105.3295888,0,5.121100276
105.5795888,0,4.939424144
105.8295888,0,4.966662665
106.0795888,0,4.86185833
106.3295888,0,4.665045645
106.5795888,0,4.717309539
106.8295888,0,4.678106026
107.0795888,0,4.758188288
107.3295888,0,5.048874939
107.5795888,0,5.056792283
107.8295888,0,5.115864645
108.0795888,0,4.956659769
108.3295888,0,5.072939639
108.5795888,0,4.440072777
108.8295888,0,4.834050722
109.0795888,0,4.290080634
109.3295888,0,5.052857788
109.5795888,0,4.673560407
109.8295888,0,5.007351545
110.0795888,0,4.972271982
110.3295888,0,4.700952879
110.5795888,0,4.613288966
110.8295888,0,4.717966333
111.0795888,0,4.732255323
111.3295888,0,4.795550768
111.5795888,0,4.709341668
111.8295888,0,4.846090522
112.0795888,0,4.534270085
112.3295888,0,4.721124995
112.5795888,0,4.668595277
112.8295888,0,4.699247337
113.0795888,0,4.59505033
113.3295888,0,4.616081725
113.5795888,0,4.750176433
113.8295888,0,4.775512047
114.0795888,0,4.839482599
114.3295888,0,4.661956628
114.5795888,0,4.822406128
114.8295888,0,4.768105632
115.0795888,0,4.594163674
115.3295888,0,4.577731883
115.5795888,0,4.806494579
115.8295888,0,4.201032394
116.0795888,0,4.889451675
116.3295888,0,4.779647028
116.5795888,0,4.404312091
116.8295888,0,5.044061719
117.0795888,0,4.616392205
117.3295888,0,4.847219092
117.5795888,0,5.201922438
117.8295888,0,4.470274206
118.0795888,0,4.636449678
118.3295888,0,3.999131649
118.5795888,0,4.38201721
118.8295888,0,4.474678416
119.0795888,0,4.77522105
119.3295888,0,4.470966667
119.5795888,0,4.606070341
119.8295888,0,4.516787271
120.0795888,0,4.702295402
120.3295888,0,5.090222995
120.5795888,0,4.528507605
120.8295888,0,4.362244885
121.0795888,0,4.430457068
121.3295888,0,4.426083496
121.5795888,0,4.403503764
121.8295888,0,4.947784387
122.0795888,0,4.521295343
122.3295888,0,4.533463157
122.5795888,0,4.336591305
122.8295888,0,4.39303972
123.0795888,0,4.649700524
123.3295888,0,4.510534696
123.5795888,0,4.651890446
123.8295888,0,4.501663369
124.0795888,0,4.367476339
124.3295888,0,4.782211208
124.5795888,0,4.498944405
124.8295888,0,5.00143361
125.0795888,0,4.68360486
125.3295888,0,4.167870502
125.5795888,0,4.228756789
125.8295888,0,4.258834813
126.0795888,0,4.37095599
126.3295888,0,4.445006339
126.5795888,0,4.586990769
126.8295888,0,4.734147812
127.0795888,0,4.47333936
127.3295888,0,4.446283352
127.5795888,0,4.264622172
127.8295888,0,4.452940444
128.0795888,0,4.477189603
128.3295888,0,4.502754553
128.5795888,0,4.699752597
128.8295888,0,4.183915495
129.0795888,0,4.521512241
129.3295888,0,4.129505909
129.5795888,0,4.657677095
129.8295888,0,4.931990266
130.0795888,0,4.595405298
130.3295888,0,4.143687525
130.5795888,0,4.42722367
130.8295888,0,4.315236387
131.0795888,0,4.124338752
131.3295888,0,4.207458135
131.5795888,0,3.99885261
131.8295888,0,4.260158884
132.0795888,0,4.607585405
132.3295888,0,4.462632107
132.5795888,0,3.890493431
132.8295888,0,4.616696978
133.0795888,0,4.563106854
133.3295888,0,4.139288574
133.5795888,0,4.239265434
133.8295888,0,4.453578544
134.0795888,0,4.110562873
134.3295888,0,4.164791893
134.5795888,0,4.172228633
134.8295888,0,4.480883985
135.0795888,0,4.390285046
135.3295888,0,4.250416647
135.5795888,0,4.14323565
135.8295888,0,4.309293961
136.0795888,0,4.18949524
136.3295888,0,4.656496157
136.5795888,0,3.985573179
136.8295888,0,4.253395957
137.0795888,0,4.107875478
137.3295888,0,4.640366684
137.5795888,0,4.520757805
137.8295888,0,4.211758185
138.0795888,0,4.296728952
138.3295888,0,4.473716037
138.5795888,0,4.431707251
138.8295888,0,3.836702568
139.0795888,0,3.98540374
139.3295888,0,4.282980491
139.5795888,0,4.621799848
139.8295888,0,4.474978624
140.0795888,0,4.180757919
140.3295888,0,4.507241005
140.5795888,0,4.252029699
140.8295888,0,4.155542764
141.0795888,0,4.411044054
141.3295888,0,4.307528315
141.5795888,0,4.360614616
141.8295888,0,4.20099456
142.0795888,0,4.400372292
142.3295888,0,4.254055013
142.5795888,0,4.184429831
142.8295888,0,4.593957529
143.0795888,0,4.401901036
143.3295888,0,4.152178534
143.5795888,0,4.676282128
143.8295888,0,4.251702884
144.0795888,0,4.429228276
144.3295888,0,4.187661038
144.5795888,0,4.805610004
144.8295888,0,4.807323217
145.0795888,0,4.413483707
145.3295888,0,4.275125995
145.5795888,0,4.617987563
145.8295888,0,4.493163772
146.0795888,0,4.408493231
146.3295888,0,4.748548083
146.5795888,0,4.670461266
146.8295888,0,4.464502691
147.0795888,0,4.55301187
147.3295888,0,4.429992231
147.5795888,0,4.512869961
147.8295888,0,4.598301639
148.0795888,0,4.669848185
148.3295888,0,4.265969694
148.5795888,0,4.465684096
148.8295888,0,4.579227531
149.0795888,0,4.184451212
149.3295888,0,4.425743281
149.5795888,0,4.318761553
149.8295888,0,4.392614113
150.0795888,0,4.505898249
150.3295888,0,4.310167999
150.5795888,0,4.619415751
150.8295888,0,4.489321166
151.0795888,0,4.769434043
151.3295888,0,4.446329985
151.5795888,0,4.408048219
151.8295888,0,4.509772406
152.0795888,0,4.578762172
152.3295888,0,4.693324412
152.5795888,0,4.252330311
152.8295888,0,4.580789903
153.0795888,0,4.204366544
153.3295888,0,4.61359901
153.5795888,0,4.243568882
153.8295888,0,4.474270199
154.0795888,0,4.786395735
154.3295888,0,4.511097906
154.5795888,0,4.345875976
154.8295888,0,4.36775483
155.0795888,0,4.496858404
155.3295888,0,4.589777526
155.5795888,0,4.336771564
155.8295888,0,4.57376606
156.0795888,0,4.346230196
156.3295888,0,4.494915501
156.5795888,0,4.543823949
156.8295888,0,4.430024426
157.0795888,0,4.480029814
157.3295888,0,4.657637095
157.5795888,0,4.429594425
157.8295888,0,4.073807337
158.0795888,0,4.615830584
158.3295888,0,4.27439375
158.5795888,0,4.575585274
158.8295888,0,4.387870451
159.0795888,0,4.709495343
159.3295888,0,4.201170549
159.5795888,0,4.365599994
159.8295888,0,4.574198521
160.0795888,0,4.633593527
160.3295888,0,4.487863676
160.5795888,0,4.401884428
160.8295888,0,4.270176934
161.0795888,0,4.532135183
161.3295888,0,4.248117166
161.5795888,0,4.960197957
161.8295888,0,4.454258255
162.0795888,0,4.614166978
162.3295888,0,4.621040298
162.5795888,0,4.670503661
162.8295888,0,4.408963847
163.0795888,0,4.848506916
163.3295888,0,4.552472711
163.5795888,0,4.545870043
163.8295888,0,4.555149238
164.0795888,0,4.731666445
164.3295888,0,4.743687206
164.5795888,0,4.472639395
164.8295888,0,4.102707763
165.0795888,0,4.32431028
165.3295888,0,4.153680697
165.5795888,0,4.216549754
165.8295888,0,4.583484534
166.0795888,0,4.322832319
166.3295888,0,4.771156817
166.5795888,0,4.625882528
166.8295888,0,4.367763377
167.0795888,0,4.49120747
167.3295888,0,4.686304821
167.5795888,0,4.549581359
167.8295888,0,4.356736221
168.0795888,0,4.828299148
168.3295888,0,4.543466173
168.5795888,0,4.85070492
168.8295888,0,4.734547798
169.0795888,0,4.533025785
169.3295888,0,4.438569152
169.5795888,0,4.30205536
169.8295888,0,4.775715854
170.0795888,0,4.765297986
170.3295888,0,4.496471401
170.5795888,0,4.376730242
170.8295888,0,4.514267045
171.0795888,0,4.339267992
171.3295888,0,4.408055145
171.5795888,0,4.424274566
171.8295888,0,4.507583427
